,Age,Attrition,BusinessTravel,EducationField,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
0,41,Yes,Travel_Rarely,Life Sciences,2,3,Sales Executive,4,Single,8,Yes,8,0,6,4,5
1,49,No,Travel_Frequently,Life Sciences,3,2,Research Scientist,2,Married,1,No,10,3,10,7,7
2,37,Yes,Travel_Rarely,Other,4,2,Laboratory Technician,3,Single,6,Yes,7,3,0,0,0
3,33,No,Travel_Frequently,Life Sciences,4,3,Research Scientist,3,Married,1,Yes,8,3,8,7,0
4,27,No,Travel_Rarely,Medical,1,3,Laboratory Technician,2,Married,9,No,6,3,2,2,2
5,32,No,Travel_Frequently,Life Sciences,4,3,Laboratory Technician,4,Single,0,No,8,2,7,7,6
6,59,No,Travel_Rarely,Medical,3,4,Laboratory Technician,1,Married,4,Yes,12,3,1,0,0
7,30,No,Travel_Rarely,Life Sciences,4,3,Laboratory Technician,3,Divorced,1,No,1,2,1,0,0
8,38,No,Travel_Frequently,Life Sciences,4,2,Manufacturing Director,3,Single,0,No,10,2,9,7,8
9,36,No,Travel_Rarely,Medical,3,3,Healthcare Representative,3,Married,6,No,17,3,7,7,7
10,35,No,Travel_Rarely,Medical,1,4,Laboratory Technician,2,Married,0,No,6,5,5,4,3
11,29,No,Travel_Rarely,Life Sciences,4,2,Laboratory Technician,3,Single,0,Yes,10,3,9,5,8
12,31,No,Travel_Rarely,Life Sciences,1,3,Research Scientist,3,Divorced,1,No,5,1,5,2,3
13,34,No,Travel_Rarely,Medical,2,3,Laboratory Technician,4,Divorced,0,No,3,2,2,2,2
14,28,Yes,Travel_Rarely,Life Sciences,3,2,Laboratory Technician,3,Single,5,Yes,6,4,4,2,3
15,29,No,Travel_Rarely,Life Sciences,2,4,Manufacturing Director,1,Divorced,1,No,10,1,10,9,8
16,32,No,Travel_Rarely,Life Sciences,1,4,Research Scientist,2,Divorced,0,Yes,7,5,6,2,5
17,22,No,Non-Travel,Medical,4,4,Laboratory Technician,4,Divorced,1,Yes,1,2,1,0,0
18,53,No,Travel_Rarely,Life Sciences,1,2,Manager,4,Married,2,No,31,3,25,8,7
19,38,No,Travel_Rarely,Life Sciences,4,3,Research Scientist,4,Single,5,Yes,6,3,3,2,2
20,24,No,Non-Travel,Other,1,4,Manufacturing Director,3,Divorced,0,No,5,5,4,2,3
21,36,Yes,Travel_Rarely,Life Sciences,3,2,Sales Representative,1,Single,7,No,10,4,5,3,3
22,34,No,Travel_Rarely,Life Sciences,1,3,Research Director,2,Single,0,No,13,4,12,6,11
23,21,No,Travel_Rarely,Life Sciences,3,3,Research Scientist,4,Single,1,No,0,6,0,0,0
24,34,Yes,Travel_Rarely,Medical,2,3,Research Scientist,1,Single,2,No,8,2,4,2,3
25,53,No,Travel_Rarely,Other,3,3,Manager,3,Divorced,4,No,26,3,14,13,8
26,32,Yes,Travel_Frequently,Life Sciences,2,1,Research Scientist,1,Single,1,Yes,10,5,10,2,7
27,42,No,Travel_Rarely,Marketing,3,3,Sales Executive,2,Married,0,No,10,2,9,7,2
28,44,No,Travel_Rarely,Medical,1,2,Healthcare Representative,4,Married,3,No,24,4,22,6,17
29,46,No,Travel_Rarely,Marketing,2,3,Manager,1,Single,3,No,22,2,2,2,1
30,33,No,Travel_Rarely,Medical,3,3,Laboratory Technician,4,Single,4,No,7,3,1,1,0
31,44,No,Travel_Rarely,Other,4,3,Healthcare Representative,4,Married,2,Yes,9,5,4,2,3
32,30,No,Travel_Rarely,Medical,4,2,Laboratory Technician,3,Single,1,No,10,5,10,0,8
33,39,Yes,Travel_Rarely,Technical Degree,4,3,Sales Representative,4,Married,3,No,19,6,1,0,0
34,24,Yes,Travel_Rarely,Medical,2,3,Research Scientist,4,Married,2,Yes,6,2,2,0,0
35,43,No,Travel_Rarely,Medical,4,4,Research Scientist,3,Divorced,1,No,6,3,5,3,4
36,50,Yes,Travel_Rarely,Marketing,1,2,Sales Representative,3,Married,1,Yes,3,2,3,2,2
37,35,No,Travel_Rarely,Marketing,4,3,Sales Representative,4,Married,1,No,2,3,2,2,2
38,36,No,Travel_Rarely,Life Sciences,2,2,Research Scientist,1,Married,9,Yes,6,3,1,1,0
39,33,No,Travel_Frequently,Life Sciences,3,4,Sales Executive,1,Married,2,No,10,3,5,3,3
40,35,No,Travel_Rarely,Other,3,3,Laboratory Technician,4,Divorced,1,No,1,3,1,0,0
41,27,No,Travel_Rarely,Life Sciences,4,3,Laboratory Technician,1,Divorced,1,No,1,6,1,0,0
42,26,Yes,Travel_Rarely,Life Sciences,1,1,Laboratory Technician,3,Single,1,No,1,2,1,0,1
43,27,No,Travel_Frequently,Life Sciences,4,3,Sales Executive,3,Single,1,No,9,0,9,8,7
44,30,No,Travel_Frequently,Medical,3,3,Laboratory Technician,4,Single,1,No,12,2,12,8,7
45,41,Yes,Travel_Rarely,Technical Degree,2,3,Research Director,3,Married,1,No,23,0,22,15,8
46,34,No,Non-Travel,Marketing,2,3,Sales Executive,3,Single,0,No,10,2,9,5,7
47,37,No,Travel_Rarely,Life Sciences,2,3,Research Scientist,2,Married,4,No,8,1,1,0,0
48,46,No,Travel_Frequently,Marketing,1,3,Sales Executive,4,Single,4,Yes,14,4,9,6,8
49,35,No,Travel_Rarely,Life Sciences,4,4,Laboratory Technician,4,Married,1,No,1,2,1,0,1
50,48,Yes,Travel_Rarely,Life Sciences,1,2,Laboratory Technician,3,Single,9,Yes,23,2,1,0,0
51,28,Yes,Travel_Rarely,Technical Degree,3,3,Laboratory Technician,3,Single,1,Yes,2,3,2,2,2
52,44,No,Travel_Rarely,Marketing,2,3,Sales Executive,1,Divorced,5,Yes,9,2,4,3,3
53,35,No,Non-Travel,Medical,3,2,Healthcare Representative,1,Married,2,Yes,10,3,4,0,3
54,26,No,Travel_Rarely,Marketing,3,2,Sales Executive,4,Married,7,Yes,5,2,2,2,0
55,33,No,Travel_Frequently,Life Sciences,1,3,Research Director,4,Single,1,Yes,15,1,15,14,12
56,35,No,Travel_Frequently,Life Sciences,2,3,Sales Executive,1,Married,1,No,9,3,9,8,8
57,35,No,Travel_Rarely,Medical,3,3,Laboratory Technician,1,Married,3,Yes,4,3,2,2,2
58,31,No,Travel_Rarely,Life Sciences,4,3,Laboratory Technician,4,Divorced,3,No,10,3,7,7,7
59,37,No,Travel_Rarely,Life Sciences,1,2,Manufacturing Director,3,Divorced,1,No,7,2,7,5,7
60,32,No,Travel_Rarely,Medical,1,3,Manufacturing Director,4,Married,1,Yes,9,3,9,8,8
61,38,No,Travel_Frequently,Life Sciences,4,3,Laboratory Technician,4,Single,1,No,10,2,10,3,9
62,50,No,Travel_Rarely,Medical,2,2,Research Director,3,Divorced,5,Yes,29,2,27,3,8
63,59,No,Travel_Rarely,Life Sciences,1,3,Sales Executive,1,Single,7,No,28,3,21,16,9
64,36,No,Travel_Rarely,Technical Degree,3,3,Healthcare Representative,3,Divorced,1,No,17,2,17,14,8
65,55,No,Travel_Rarely,Medical,4,3,Manager,3,Divorced,2,Yes,21,2,5,0,2
66,36,No,Travel_Frequently,Life Sciences,2,2,Manufacturing Director,2,Single,1,No,6,3,6,5,3
67,45,No,Travel_Rarely,Life Sciences,2,3,Research Scientist,1,Divorced,2,No,25,2,1,0,0
68,35,No,Travel_Frequently,Medical,2,3,Research Scientist,1,Married,4,No,5,2,3,2,2
69,36,Yes,Travel_Rarely,Medical,4,2,Research Scientist,3,Married,0,Yes,2,0,1,0,0
70,59,No,Travel_Frequently,Life Sciences,1,2,Sales Executive,3,Single,7,No,20,2,4,3,3
71,29,No,Travel_Rarely,Life Sciences,3,3,Research Scientist,2,Married,0,No,6,3,5,4,4
72,31,No,Travel_Rarely,Medical,3,3,Research Scientist,2,Single,1,No,1,4,1,1,0
73,32,No,Travel_Rarely,Life Sciences,2,3,Research Scientist,2,Married,1,No,10,3,10,4,9
74,36,No,Travel_Rarely,Life Sciences,2,4,Laboratory Technician,4,Married,3,No,5,3,1,0,0
75,31,No,Travel_Rarely,Life Sciences,3,3,Manufacturing Director,4,Single,1,No,11,2,11,7,8
76,35,No,Travel_Rarely,Marketing,3,2,Sales Executive,1,Single,0,No,16,2,15,13,8
77,45,No,Travel_Rarely,Other,4,3,Research Director,1,Married,4,Yes,17,3,0,0,0
78,37,No,Travel_Rarely,Medical,1,3,Research Director,3,Single,4,No,16,3,5,2,2
79,46,No,Travel_Rarely,Medical,2,3,Human Resources,2,Divorced,8,Yes,16,2,4,2,2
80,30,No,Travel_Rarely,Life Sciences,4,2,Laboratory Technician,4,Married,1,Yes,10,1,10,8,0
81,35,No,Travel_Rarely,Medical,2,2,Research Scientist,3,Single,1,No,6,3,6,4,4
82,55,No,Travel_Rarely,Life Sciences,1,3,Sales Executive,4,Married,3,No,24,4,1,0,0
83,38,No,Non-Travel,Medical,2,1,Research Scientist,4,Divorced,7,Yes,17,3,13,11,9
84,34,No,Travel_Rarely,Medical,1,3,Manufacturing Director,2,Married,1,No,5,2,5,2,3
85,56,No,Travel_Rarely,Life Sciences,4,1,Manufacturing Director,4,Single,4,No,37,3,6,4,2
86,23,No,Travel_Rarely,Technical Degree,3,3,Sales Representative,1,Divorced,3,No,3,3,0,0,0
87,51,No,Travel_Rarely,Life Sciences,4,3,Laboratory Technician,4,Married,3,No,10,4,4,2,3
88,30,No,Travel_Rarely,Life Sciences,3,2,Healthcare Representative,4,Married,1,No,11,3,11,10,8
89,46,Yes,Travel_Rarely,Medical,3,2,Sales Executive,4,Single,1,No,9,3,9,8,7
90,40,No,Travel_Frequently,Life Sciences,3,2,Healthcare Representative,2,Married,1,No,22,3,22,3,11
91,51,No,Travel_Rarely,Marketing,3,3,Sales Executive,4,Single,0,Yes,11,2,10,7,0
92,30,No,Travel_Rarely,Medical,3,2,Sales Executive,2,Divorced,1,Yes,11,4,11,8,7
93,46,No,Travel_Frequently,Medical,3,2,Healthcare Representative,1,Married,2,Yes,21,5,10,9,5
94,32,No,Travel_Rarely,Medical,2,3,Sales Executive,3,Single,1,No,12,0,11,8,7
95,54,No,Travel_Rarely,Technical Degree,1,3,Research Director,3,Married,9,No,16,5,4,3,3
96,24,No,Travel_Rarely,Other,1,3,Sales Executive,3,Married,0,No,4,2,3,2,2
97,28,No,Non-Travel,Medical,2,3,Sales Executive,3,Married,1,No,5,3,5,4,4
